Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
Badhaai ho,331,9,443,2018,8,290000000,2,490042500,0,0,1,0,1,0,0,0,0,1,2,0,2
Article 15,260,9,336,2019,8.2,290000000,2,930800000,0,0,0,1,1,0,0,0,0,1,4,1,3
Section 375,296,119,175,2019,8.2,291066454,2,21525000,0,0,0,1,1,0,0,0,0,1,1,0,2
Chhichhore,128,34,40,2019,8.1,293629429,2,2154100000,0,0,1,0,1,0,0,0,0,1,5,1,3
Gulaal,65,127,235,2009,8.1,293629429,2,1128738871,0,0,0,1,1,0,0,0,1,1,5,1,3
Yeh Saali Aashiqui,134,6,451,2019,8.1,293629429,2,1128738871,0,0,0,0,0,0,0,0,1,1,5,1,3
P Se Pyaar F Se Faraar,27,27,149,2019,8,296192404,2,1113666205,0,0,0,1,1,0,0,1,0,1,5,1,3
Ab Tak Chhappan,311,95,417,2004,7.9,298755379,2,1098593539,1,0,0,1,1,0,0,0,0,1,4,1,3
Dor,332,21,273,2006,7.9,298755379,2,1098593539,0,0,0,0,1,0,0,0,0,1,4,1,3
Happy Phirr Bhag Jayegi,338,151,522,2018,4.5,300000000,2,210600000,0,0,1,0,0,0,0,0,0,0,1,0,0
Gori Tere Pyaar Mein!,100,49,463,2013,5,300000000,2,100000000,0,0,1,0,1,0,0,1,0,0,1,0,0
We Are Family,253,10,463,2010,5.6,300000000,2,420490000,0,0,0,0,1,0,0,0,0,0,2,0,0
Eklavya,41,101,121,2007,6.1,300000000,2,380000000,1,0,0,0,1,0,0,0,1,0,2,0,0
Raavan,35,37,290,2010,5.4,300000000,2,286000000,1,1,0,0,1,0,0,0,0,0,2,0,0
Knock Out,126,193,56,2010,6,300000000,2,622300000,1,0,0,1,1,0,0,0,0,0,3,0,0
Teri Meri Kahaani,57,141,516,2012,4.7,300000000,2,780000000,0,0,1,0,1,0,0,1,0,0,4,1,1
Ready,51,79,265,2011,4.7,300000000,2,1800000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Son of Sardaar,324,53,193,2012,4,300000000,2,1699800000,1,0,1,0,0,0,0,0,0,0,5,1,1
Chakravyuh,245,166,221,2012,6.8,300000000,2,170300000,1,0,0,0,1,0,0,0,1,1,1,0,2
Kaante,248,101,193,2002,6.6,300000000,2,430000000,1,0,0,1,1,0,0,0,0,1,2,0,2
Fanaa,57,189,10,2006,7.2,300000000,2,1054800000,0,0,0,0,1,0,0,1,0,1,4,1,3
Airlift,291,112,528,2016,8,300000000,2,2510000000,0,0,0,0,1,0,0,0,0,1,5,1,3
Barfi!,46,154,516,2012,8.1,300000000,2,1883600000,0,0,1,0,1,0,0,1,0,1,5,1,3
Johnny Gaddaar,299,167,307,2007,7.8,301318354,2,67000000,0,0,0,1,1,0,0,0,0,1,1,0,2
Rock On!!,313,166,137,2008,7.8,301318354,2,1083520873,0,0,0,0,1,0,0,0,0,1,4,1,3
The Shaukeens,341,112,270,2014,5,302500000,2,463900000,0,0,1,0,0,0,0,0,0,0,2,0,0
Laila Majnu,153,43,524,2018,7.7,303881329,2,21840000,0,0,0,0,1,0,0,1,0,1,1,0,2
Bioscopewala,210,182,420,2018,7.7,303881329,2,1068448207,0,0,0,0,1,0,0,0,0,1,4,1,3
Guru,35,44,37,2007,7.7,303881329,2,800000000,0,0,0,0,1,0,0,0,0,1,4,1,3
Kuchh Bheege Alfaaz,149,187,420,2018,7.5,309007280,2,920000,0,0,0,0,0,0,0,1,0,1,1,0,2
Sonchiriya,334,34,165,2019,7.5,309007280,2,1038302876,1,0,0,1,1,0,0,0,0,1,4,1,3
SP Chauhan,173,149,111,2019,7.5,309007280,2,1038302876,0,0,0,0,1,0,0,0,0,1,4,1,3
The Sky Is Pink,273,137,516,2019,7.5,309007280,2,1038302876,0,0,0,0,1,0,0,1,0,1,4,1,3
Tum Bin...: Love Will Find a Way,260,172,286,2001,7.5,309007280,2,1038302876,0,0,0,0,1,0,0,1,0,1,4,1,3
London Paris New York,340,76,397,2012,5.7,310000000,2,410000000,0,0,0,0,0,0,0,1,0,0,2,0,0
Kidnap,267,193,49,2008,4.6,310000000,2,356060000,1,0,0,1,1,0,0,0,0,0,2,0,0
Kambakkht Ishq,204,192,433,2009,3.8,310000000,2,840000000,1,0,1,0,0,0,0,1,0,0,4,1,1
Main Tera Hero,40,179,370,2014,5.2,310000000,2,780000000,1,0,1,0,0,0,0,1,0,0,4,1,1
Gunday,270,195,138,2014,2.3,310000000,2,1200000000,1,0,0,0,1,0,0,1,0,0,5,1,1
Soorma,170,160,514,2018,7.4,310000000,2,470000000,0,0,0,0,1,0,0,0,0,1,2,0,2
...Yahaan,59,149,331,2005,7.4,311570255,2,1023230210,0,0,0,0,1,0,0,1,0,1,4,1,3
Manto,277,15,258,2018,7.4,311570255,2,1023230210,0,0,0,0,1,0,0,0,0,1,4,1,3
Once Upon a Time in Mumbaai,350,53,28,2010,7.4,311570255,2,1023230210,1,0,0,1,1,0,0,0,0,1,4,1,3
Road to Sangam,249,106,323,2010,7.4,311570255,2,1023230210,0,0,0,0,1,0,0,0,1,1,4,1,3
404: Error Not Found,99,180,283,2011,7.2,316696205,2,993084878,0,0,0,0,1,0,0,0,1,1,4,1,3
Bhopal: A Prayer for Rain,136,217,348,2014,7.2,316696205,2,993084878,0,0,0,0,1,0,0,0,0,1,4,1,3
Halkaa,71,41,342,2018,7.2,316696205,2,993084878,0,0,0,0,1,0,0,0,0,1,4,1,3
Pataakha,123,129,457,2018,7.2,316696205,2,993084878,1,0,1,0,1,0,0,0,0,1,4,1,3
Game Over,263,131,514,2019,7.1,319259180,2,3900000,0,0,0,0,1,0,0,0,1,1,1,0,2
Gabbar is Back,135,112,318,2015,7.1,319259180,2,1054800000,1,0,0,0,0,0,0,0,0,1,4,1,3
Gangster,46,118,142,2006,7.1,319259180,2,978012212,1,0,0,1,1,0,0,0,0,1,4,1,3
Sulemani Keeda,333,104,452,2014,7.1,319259180,2,978012212,0,0,1,0,0,0,0,1,0,1,4,1,3
Table No.21,104,106,218,2013,7.1,319259180,2,978012212,0,1,0,0,0,0,0,0,1,1,4,1,3
Department,107,193,337,2012,3.2,320000000,2,215149000,1,0,0,1,0,0,0,0,1,0,1,0,0
Judgementall Hai Kya,325,3,142,2019,6,320000000,2,449200000,0,0,1,0,1,0,0,0,1,0,2,0,0
Daawat-e-Ishq,18,204,364,2014,6.1,320000000,2,355800000,0,0,1,0,1,0,0,1,0,0,2,0,0
Lakshya,140,75,176,2004,7.9,320000000,2,416500000,1,0,0,0,1,0,0,1,0,1,2,0,2
Bhool Bhulaiyaa,168,112,32,2007,7.3,320000000,2,828377500,0,0,1,0,0,0,1,0,0,1,4,1,3
Toilet - Ek Prem Katha,303,112,165,2017,7.2,320000000,2,3115000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Mission Mangal,122,112,32,2019,6.5,320000000,2,2905900000,0,0,0,0,1,0,0,0,0,1,5,1,3
Blackmail,220,56,20,2018,7,321822155,2,288100000,0,0,1,0,0,0,0,0,1,1,2,0,2
Mere Haule Dost,114,158,481,2013,7,321822155,2,962939546,0,0,1,0,1,0,0,0,0,1,4,1,3
Padmaavat,191,195,391,2018,7,321822155,2,962939546,0,0,0,0,1,0,0,1,0,1,4,1,3
Striker,95,198,510,2010,7,321822155,2,962939546,1,0,0,1,1,0,0,0,0,1,4,1,3
Mitron,72,51,352,2018,6.9,324385130,2,1080000,0,0,1,0,0,0,0,0,0,1,1,0,2
Fukrey,349,225,404,2013,6.9,324385130,2,947866880,0,0,1,0,1,0,0,1,0,1,4,1,3
Manmarziyaan,65,37,514,2018,6.9,324385130,2,947866880,0,0,0,0,0,0,0,1,0,1,4,1,3
Photograph,124,15,457,2019,6.8,326948105,2,12900000,0,0,0,0,1,0,0,1,0,1,1,0,2
Baa Baaa Black Sheep,330,161,441,2018,6.8,326948105,2,3000000,1,0,1,1,0,0,0,0,0,1,1,0,2
Kabul Express,344,150,211,2006,6.8,326948105,2,290000000,0,1,1,0,1,0,0,0,0,1,2,0,2
Arjun: The Warrior Prince,67,94,462,2012,6.8,326948105,2,932794214,1,1,0,0,0,0,0,0,0,1,4,1,3
Cheeni Kum,290,101,362,2007,6.8,326948105,2,932794214,0,0,1,0,0,0,0,1,0,1,4,1,3
Chhota Bheem and the Throne of Bali,164,108,267,2013,6.8,326948105,2,932794214,0,0,0,0,0,0,0,0,0,1,4,1,3
Saathiya,170,102,416,2002,6.8,326948105,2,932794214,0,0,0,0,1,0,0,1,0,1,4,1,3
The Attacks of 26/11,107,205,417,2013,6.8,326948105,2,932794214,1,0,0,1,0,0,0,0,0,1,4,1,3
Children of War,229,100,301,2014,6.7,329511080,2,917721548,0,0,0,0,1,0,0,0,0,1,4,1,3
Mujhse Shaadi Karogi,40,79,112,2004,6.7,329511080,2,917721548,0,0,1,0,1,0,0,0,0,1,4,1,3
Humpty Sharma Ki Dulhania,147,179,394,2014,6,330000000,2,1730000000,0,0,1,0,1,0,0,1,0,0,5,1,1
October,59,179,403,2018,7.5,330000000,2,584100000,0,0,0,0,1,0,0,1,0,1,3,0,2
Satellite Shankar,53,133,537,2019,6.5,334637030,2,5400000,1,0,0,0,1,0,0,0,0,1,1,0,2
"""Lets Enjoy",197,47,250,2004,6.5,334637030,2,887576217,0,0,1,0,0,0,0,0,0,1,4,1,3
Khido Khundi,162,194,392,2018,6.5,334637030,2,887576217,0,0,0,0,1,0,0,0,0,1,4,1,3
Pailwan,304,202,423,2019,6.5,334637030,2,887576217,1,0,0,0,1,0,0,0,0,1,4,1,3
1920,83,109,300,2008,6.4,337200005,2,872503551,0,0,0,0,0,0,1,1,0,0,4,1,1
Hope Aur Hum,198,5,358,2018,6.4,337200005,2,872503551,0,0,1,0,1,0,0,0,0,0,4,1,1
Jalebi,312,58,312,2018,6.3,339762981,2,2220000,0,0,0,0,1,0,0,1,0,0,1,0,0
Dharam Sankat Mein,211,5,106,2015,6.3,339762981,2,857430885,0,0,1,0,0,0,0,0,0,0,4,1,1
Kanpuriye,258,98,304,2019,6.3,339762981,2,857430885,0,0,0,0,1,0,0,0,0,0,4,1,1
Luka Chuppi,130,0,504,2019,6.3,340000000,3,172530000,0,0,1,0,0,0,0,1,0,0,1,0,0
Pati Patni Aur Woh,338,0,165,2019,5.9,340000000,3,1177000000,0,0,1,0,0,0,0,1,0,0,5,1,1
Baazaar,213,121,426,2018,6.6,340000000,3,70320000,0,0,0,1,1,0,0,0,1,1,1,0,2
Bhoothnath Returns,128,101,93,2014,6.7,340000000,3,530000000,0,0,1,0,1,1,0,0,0,1,3,0,2
Madras Cafe,59,150,24,2013,7.7,340000000,3,1100000000,1,0,0,0,1,0,0,0,1,1,5,1,3
Made in China,279,3,93,2019,6.2,342325956,3,128100000,0,0,1,0,1,0,0,0,0,0,1,0,0
Dhol,168,126,69,2007,6.2,342325956,3,842358219,0,0,1,1,0,0,0,0,0,0,4,1,1
The Journey of Karma,60,139,297,2018,6.2,342325956,3,842358219,0,0,0,0,1,0,0,0,0,0,4,1,1
Blank,175,110,376,2019,6.1,344888931,3,51500000,1,0,0,0,0,0,0,0,1,0,1,0,0
"""Jaan-E-Mann: Lets Fall in Love... Again",158,79,112,2006,6.1,344888931,3,827285553,0,0,0,0,1,0,0,1,0,0,4,1,1
Mangal Pandey: The Rising,353,189,416,2005,6.6,347000000,3,527780000,0,0,0,0,1,0,0,0,0,1,3,0,2
The Golden Boys,56,156,523,2008,6,347451906,3,812212887,0,0,1,0,0,0,0,1,0,0,4,1,1
8 x 10 Tasveer,332,112,273,2009,5.4,350000000,3,235800000,1,0,0,0,0,0,0,0,1,0,1,0,0
No Problem,51,14,193,2010,4.2,350000000,3,287000000,1,0,1,1,0,0,0,0,0,0,2,0,0
Khatta Meetha,168,112,412,2010,5.6,350000000,3,627900000,0,0,1,1,1,0,0,0,0,0,3,0,0
Heroine,261,166,463,2012,5.1,350000000,3,571175000,0,0,0,0,1,0,0,0,0,0,3,0,0
Ki & Ka,290,101,463,2016,5.8,350000000,3,993000000,0,0,1,0,0,0,0,1,0,0,4,1,1
Golmaal Returns,150,53,463,2008,5.1,350000000,3,800000000,0,0,1,1,0,0,0,0,0,0,4,1,1
Golmaal 3,150,44,53,2010,5.4,350000000,3,1692500000,1,0,1,0,0,0,0,0,0,0,5,1,1
Laal Kaptaan,282,121,500,2019,7.4,350000000,3,35000000,1,1,0,0,1,0,0,0,0,1,1,0,2
Detective Byomkesh Bakshy!,52,34,347,2015,7.6,350000000,3,360000000,1,0,0,0,0,0,0,0,1,1,2,0,2
Kaminey,123,141,516,2009,7.4,350000000,3,710000000,1,0,0,1,1,0,0,0,0,1,3,0,2
102 Not Out,106,101,203,2018,7.4,350000000,3,1000000000,0,0,1,0,1,0,0,0,0,1,4,1,3
Haider,123,141,362,2014,8.1,350000000,3,981670000,0,0,0,1,1,0,0,0,1,1,4,1,3
Wazir,322,101,137,2016,7.1,350000000,3,786900000,1,0,0,1,1,0,0,0,0,1,4,1,3
Padman,290,112,426,2018,8,350000000,3,2077300000,0,0,1,0,1,0,0,0,0,1,5,1,3
2 States,224,138,394,2014,6.9,350000000,3,1710200000,0,0,1,0,1,0,0,1,0,1,5,1,3
Kaabil,248,75,8,2017,7.1,350000000,3,1545140000,1,0,0,0,1,0,0,0,1,1,5,1,3
Dhoom:2,267,75,37,2006,6.5,350000000,3,1510000000,1,0,0,0,0,0,0,0,1,1,5,1,3
Om Shanti Om,241,190,391,2007,6.7,350000000,3,1480000000,1,0,1,0,1,0,0,0,0,1,5,1,3
Vishwaroopam 2,131,231,455,2018,5.9,350014881,3,190000000,1,0,0,0,0,0,0,0,1,0,1,0,0
Motichoor Chaknachoor,88,15,473,2019,5.8,352577856,3,28000000,0,0,1,0,0,0,0,1,0,0,1,0,0
Hum Pyar Tumhi Se Kar Baithe,185,163,381,2002,5.8,352577856,3,782067556,0,0,0,0,0,0,0,1,0,0,4,1,1
Malaal,61,132,448,2019,5.8,352577856,3,782067556,1,0,0,0,1,0,0,1,0,0,4,1,1
Isi Life Mein...!,309,226,400,2010,5.7,355140831,3,766994890,0,0,1,0,1,0,0,1,0,0,4,1,1
Mere Khwabon Mein Jo Aaye,223,227,253,2009,5.7,355140831,3,766994890,0,0,0,0,1,1,0,0,0,0,4,1,1
Tum Milo Toh Sahi,193,50,417,2010,5.7,355140831,3,766994890,0,0,1,0,1,0,0,0,0,0,4,1,1
Bypass Road,25,48,300,2019,5.6,357703806,3,11600000,0,0,0,0,1,0,0,0,1,0,1,0,0
Commando 3,104,35,300,2019,5.6,357703806,3,401500000,1,0,0,0,0,0,0,0,1,0,2,0,0
Gippi,177,140,329,2013,5.6,357703806,3,751922224,0,0,1,0,1,0,0,0,0,0,4,1,1
John Day,32,5,227,2013,5.6,357703806,3,751922224,0,0,0,0,1,0,0,0,0,0,4,1,1
Koyelaanchal,54,38,384,2014,5.6,357703806,3,751922224,1,0,0,0,1,0,0,0,0,0,4,1,1
Yamla Pagla Deewana Phir Se,226,110,307,2018,4.7,360000000,3,100000000,1,0,1,0,0,0,0,0,0,0,1,0,0
Ek Main Aur Ekk Tu,82,49,463,2012,5.8,360000000,3,721000000,0,0,1,0,1,0,0,1,0,0,3,0,0
Heyy Babyy,265,112,208,2007,6,360000000,3,839390000,0,0,1,0,1,0,0,0,0,0,4,1,1
Raanjhanaa,310,65,114,2013,7.6,360000000,3,940000000,0,0,0,0,1,0,0,1,0,1,4,1,3
Eela,307,10,407,2018,5.5,360266781,3,29600000,0,0,0,0,1,0,0,0,0,0,1,0,0
My Birthday Song,202,68,335,2018,5.5,360266781,3,675000,0,0,0,0,0,0,0,0,1,0,1,0,0
?: A Question Mark,94,11,419,2012,5.5,360266781,3,736849558,0,0,0,0,0,0,1,0,1,0,3,0,0
Kaashi in Search of Ganga,17,123,534,2018,5.5,360266781,3,736849558,0,0,0,0,0,0,0,0,1,0,3,0,0
When Obama Loved Osama,84,171,466,2018,5.5,360266781,3,736849558,0,0,1,0,0,0,0,0,0,0,3,0,0
The Body,221,28,203,2019,5.4,362829756,3,150000000,0,0,0,0,0,0,0,0,1,0,1,0,0
FryDay,183,66,437,2018,5.3,365392731,3,1628000,0,0,1,0,0,0,0,0,0,0,1,0,0
Inteqam: The Perfect Game,269,80,406,2004,5.3,365392731,3,706704226,1,0,0,0,0,0,0,0,1,0,3,0,0
Jism,268,150,470,2003,5.2,367955706,3,135000000,0,0,0,0,1,0,0,1,1,0,1,0,0
Apna Sapna Money Money,207,59,410,2006,5.2,367955706,3,691631560,0,0,1,0,0,0,0,1,0,0,3,0,0
Hostel,280,64,314,2011,5.2,367955706,3,691631560,1,0,0,1,1,0,0,0,0,0,3,0,0
Lafangey Parindey,307,48,391,2010,5.2,367955706,3,691631560,1,0,0,0,1,0,0,1,0,0,3,0,0
Revati,159,21,272,2005,5.2,367955706,3,691631560,0,0,0,0,1,0,0,0,0,0,3,0,0
Toh Baat Pakki!,214,126,362,2010,5.2,367955706,3,691631560,0,0,1,0,1,0,0,0,0,0,3,0,0
"""Indias Most Wanted",113,138,373,2019,4.5,370000000,3,167400000,1,0,0,0,0,0,0,0,1,0,1,0,0
Prince,256,102,339,2010,4.2,370000000,3,389425000,1,0,0,0,0,0,0,0,1,0,2,0,0
Luck,116,44,193,2009,4.8,370000000,3,335800000,1,1,0,0,1,0,0,0,0,0,2,0,0
Baaghi,204,63,40,2016,5.2,370000000,3,1269600000,1,0,0,0,0,0,0,0,1,0,5,1,1
Dedh Ishqiya,334,5,302,2014,7.1,370000000,3,408000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Jab Tak Hai Jaan,318,190,390,2012,6.7,370000000,3,2110000000,0,0,0,0,1,0,0,1,0,1,5,1,3
Milan Talkies,2,220,46,2019,5.1,370518682,3,234000000,0,0,0,0,1,0,0,0,0,0,1,0,0
Setters,278,21,174,2019,5.1,370518682,3,5800000,0,0,0,0,0,0,0,0,1,0,1,0,0
Daas Dev,238,16,306,2018,5.1,370518682,3,676558894,0,0,0,0,1,0,0,0,1,0,3,0,0
Game,220,37,142,2011,5.1,370518682,3,676558894,1,0,0,1,1,0,0,0,0,0,3,0,0
Jack & Dil,300,91,186,2018,5.1,370518682,3,676558894,0,0,1,0,0,0,0,0,0,0,3,0,0
Lamhaa: The Untold Story of Kashmir,74,193,470,2010,5,373081657,3,661486228,1,0,0,0,1,0,0,0,1,0,3,0,0
Raazi,339,83,394,2018,7.8,375000000,3,2020000000,1,0,0,0,1,0,0,0,1,1,5,1,3
5ters: Castle of Dark Master,1,223,277,2011,4.9,375644632,3,646413563,1,1,0,0,0,1,0,0,0,0,3,0,0
Murder 3,47,227,76,2013,4.9,375644632,3,646413563,0,0,0,0,1,0,0,0,1,0,3,0,0
Fanney Khan,239,14,290,2018,4.4,380000000,3,167300000,0,0,1,0,1,0,0,0,0,0,1,0,0
Ramaiya Vastavaiya,199,188,318,2013,5.6,380000000,3,400000000,1,0,0,0,1,0,0,1,0,0,2,0,0
Anjaana Anjaani,336,154,516,2010,5.8,380000000,3,685000000,0,0,1,0,1,0,0,0,0,0,3,0,0
Don,140,190,516,2006,7.2,380000000,3,1060000000,1,0,0,1,0,0,0,0,1,1,4,1,3
Kapoor & Sons,82,200,266,2016,7.7,380000000,3,1432855000,0,0,1,0,1,0,0,1,0,1,5,1,3
Bheja Fry 2,284,143,127,2011,4.7,380770582,3,616268231,0,0,1,0,1,0,0,0,0,0,3,0,0
Jhootha Kahin Ka,70,149,203,2019,4.7,380770582,3,616268231,0,0,1,0,0,0,0,0,0,0,3,0,0
Mausam,161,141,114,2011,4.7,380770582,3,616268231,0,0,0,0,1,0,0,1,0,0,3,0,0
Super Nani,33,126,434,2014,4.7,380770582,3,616268231,0,0,1,0,1,0,0,0,0,0,3,0,0
Nawabzaade,92,159,442,2018,4.6,383333557,3,601195565,0,0,1,0,0,0,0,1,0,0,3,0,0
Pyaar Impossible!,243,161,516,2010,4.6,383333557,3,601195565,0,0,1,0,0,0,0,1,0,0,3,0,0
Raja Abroadiya,298,134,430,2018,4.6,383333557,3,601195565,0,0,0,0,0,0,0,1,0,0,3,0,0
Dil Bole Hadippa!,93,141,416,2009,4.5,385896532,3,586122899,0,0,1,0,1,0,0,0,0,0,3,0,0
Muskaan,286,174,303,2004,4.4,388459507,3,100000000,0,0,0,0,0,0,0,1,0,0,1,0,0
Bombairiya,68,226,426,2019,4.4,388459507,3,571050233,0,0,1,1,1,0,0,0,0,0,3,0,0
Prassthanam,196,193,170,2019,5.8,390000000,3,9940000,1,0,0,0,1,0,0,0,0,0,1,0,0
Ungli,316,28,142,2014,5.7,390000000,3,500000000,0,0,0,1,1,0,0,0,1,0,3,0,0
Badrinath Ki Dulhania,147,179,394,2017,6.2,390000000,3,2004500000,0,0,1,0,1,0,0,1,0,0,5,1,1
Tanu Weds Manu Returns,310,199,142,2015,7.6,390000000,3,2580000000,0,0,1,0,1,0,0,1,0,1,5,1,3
Special Chabbis,10,112,161,2013,8,390000000,3,1260000000,0,0,0,1,1,0,0,0,1,1,5,1,3
Fraud Saiyyan,148,211,532,2019,4.3,391022482,3,14910000,0,0,1,0,1,0,0,0,0,0,1,0,0
Desi Kattey,11,2,494,2014,4.2,393585457,3,540904901,1,0,0,0,0,0,0,0,0,0,3,0,0
Ishqeria,24,54,368,2018,4.2,393585457,3,540904901,0,0,1,0,0,0,0,1,0,0,3,0,0
Policegiri,105,193,482,2013,4.1,396148432,3,525832236,1,0,1,0,0,0,0,0,0,0,3,0,0
Main Prem Ki Diwani Hoon,272,75,463,2003,4,398711407,3,510759570,0,0,1,0,1,0,0,0,0,0,3,0,0
Thugs of Hindostan,102,189,390,2018,4,398711407,3,3030000000,1,1,0,0,0,0,0,0,0,0,5,1,1
"""Trip to Bhangarh: Asias Most Haunted Place",111,52,313,2014,2.4,400000000,3,182500000,0,0,0,0,0,0,1,0,1,0,1,0,0
De Dana Dan,168,112,202,2009,5.3,400000000,3,818500000,0,0,1,1,0,0,0,0,0,0,4,1,1
Krrish,327,75,516,2006,6.3,400000000,3,1260000000,1,0,0,0,0,0,0,0,0,0,5,1,1
Aakrosh,168,53,175,2010,7,400000000,3,182500000,1,0,0,1,0,0,0,0,1,1,1,0,2
Hamari Adhuri Kahani,228,3,32,2015,6.7,400000000,3,412300000,0,0,0,0,1,0,0,1,0,1,2,0,2
Dostana,118,37,150,2008,6.5,400000000,3,871517500,0,0,1,0,1,0,0,1,0,1,4,1,3
Gully Boy,146,195,394,2019,8.2,400000000,3,2381600000,0,0,0,0,1,0,0,0,0,1,5,1,3
Talaash,182,189,463,2012,7.2,400000000,3,1742100000,0,0,0,1,1,0,0,0,0,1,5,1,3
Kabhi Khushi Kabhie Gham...,283,190,10,2001,7.4,400000000,3,1360000000,0,0,0,0,1,0,0,1,0,1,5,1,3
Welcome,51,112,390,2007,6.8,400000000,3,1220000000,0,0,1,0,0,0,0,1,0,1,5,1,3
Jodhaa Akbar,203,75,290,2008,7.6,400000000,3,1120000000,1,0,0,0,1,0,0,0,0,1,5,1,3
Bin Bulaye Baraati,314,97,436,2011,3.9,401274383,3,495686904,1,0,1,1,0,0,0,0,0,0,2,0,0
Nirdosh,289,115,327,2018,3.9,401274383,3,495686904,0,0,0,0,1,0,0,0,1,0,2,0,0
Ishkq in Paris,48,176,255,2013,3.8,403837358,3,21300000,0,0,1,0,0,0,0,1,0,0,1,0,0
Dassehra,14,48,445,2018,3.8,403837358,3,480614238,1,0,0,0,0,0,0,0,1,0,2,0,0
Rise of the Zombie,34,20,338,2013,3.6,408963308,3,450468906,0,0,0,0,1,0,1,0,1,0,2,0,0
Dhadak,147,19,527,2018,4.5,410000000,3,195270000,0,0,1,0,1,0,0,1,0,0,1,0,0
All the Best: Fun Begins,150,193,53,2009,6.1,410000000,3,610000000,1,0,1,0,1,0,0,0,0,0,3,0,0
Maa Tujhhe Salaam,348,110,362,2002,3.5,411526283,3,435396240,1,0,0,0,1,0,0,0,0,0,2,0,0
Marjaavaan,137,90,200,2019,3.5,411526283,3,653400000,1,0,0,0,0,0,0,1,0,0,3,0,0
Neighbours,355,88,309,2014,3.3,416652233,3,405250908,0,0,0,0,0,0,1,0,0,0,2,0,0
"""Neal N Nikki",108,25,251,2005,3.2,419215208,3,390178243,0,0,1,0,0,0,0,1,0,0,2,0,0
5 Weddings,335,24,3,2018,3.2,419215208,3,390178243,0,0,1,0,1,0,0,1,0,0,2,0,0
PM Narendra Modi,236,102,93,2019,3.2,419215208,3,390178243,0,0,0,0,1,0,0,0,0,0,2,0,0
Zanjeer,218,31,516,2013,3.2,419215208,3,390178243,1,0,0,0,1,0,0,0,0,0,2,0,0
Singh Saab the Great,209,110,387,2013,5.7,420000000,3,3289875000,1,0,0,0,1,0,0,0,0,0,5,1,1
Dabangg,352,79,522,2010,6.2,420000000,3,2190000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Agyaat,107,42,354,2009,2.9,426904133,3,344960245,0,0,0,0,1,0,1,0,0,0,2,0,0
Amavasya,235,152,495,2019,2.8,429467108,3,329887579,0,0,0,0,0,0,1,0,1,0,2,0,0
Veerey Ki Wedding,54,225,149,2018,2.8,429467108,3,329887579,0,0,1,0,0,0,0,1,0,0,2,0,0
Shaadi Ke Side Effects,180,137,32,2014,5.6,430000000,3,696000000,0,0,1,0,0,0,0,1,0,0,3,0,0
Salaam-E-Ishq,323,79,516,2007,5.1,430000000,3,520000000,0,0,1,0,1,0,0,0,0,0,3,0,0
Race,133,121,175,2008,6.6,430000000,3,1090000000,1,0,0,1,1,0,0,0,0,1,4,1,3
Drive,118,34,280,2019,2.4,439719009,3,269596916,1,0,0,0,0,0,0,0,1,0,2,0,0
Rangeela Raja,152,212,437,2019,2.4,439719009,3,269596916,0,0,1,0,0,0,0,0,0,0,2,0,0
Love Aaj Kal,302,121,391,2009,6.8,440000000,3,526300000,0,0,1,0,1,0,0,1,0,1,3,0,2
Devdas,191,190,290,2002,7.6,440000000,3,1020000000,0,0,0,0,1,0,0,1,0,1,4,1,3
Parmanu: The Story of Pokhran,341,150,93,2018,7.7,440000000,3,962100000,1,0,0,0,1,0,0,0,0,1,4,1,3
Karzzzz,174,13,402,2008,2.1,447407934,3,110000000,1,0,0,0,1,0,0,0,0,0,1,0,0
Drona,230,185,393,2008,2,449970909,3,209306252,1,1,0,0,0,1,0,0,0,0,1,0,0
Jackpot,188,5,157,2013,2,449970909,3,50000000,0,0,1,0,0,0,0,0,1,0,1,0,0
Khelein Hum Jee Jaan Sey,203,37,391,2010,5.9,450000000,3,49100000,1,0,0,0,1,0,0,0,0,0,1,0,0
Rascals,40,53,193,2011,2.9,450000000,3,490000000,1,0,1,1,0,0,0,0,0,0,2,0,0
Saawariya,191,154,114,2007,5.3,450000000,3,390000000,0,0,0,0,1,0,0,1,0,0,2,0,0
Matru ki Bijlee ka Mandola,123,178,49,2013,5.6,450000000,3,311500000,0,0,1,0,1,0,0,0,0,0,2,0,0
Satyameva Jayate,137,150,80,2018,5.6,450000000,3,1083200000,1,0,0,0,0,0,0,0,1,0,4,1,1
Rowdy Rathore,199,112,522,2012,5.7,450000000,3,1980000000,1,0,0,0,0,0,0,0,0,0,5,1,1
Shamitabh,290,101,65,2015,6.8,450000000,3,710000000,0,0,0,0,1,0,0,0,0,1,3,0,2
Ghajini,79,189,265,2008,7.3,450000000,3,2320000000,1,0,0,0,1,0,0,0,0,1,5,1,3
Jolly LLB 2,190,112,472,2017,7.2,450000000,3,1833300000,0,0,1,0,1,0,0,0,0,1,5,1,3
