Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
Kajraare,205,13,292,2010,2.9,120000000,1,70000,0,0,0,1,1,0,0,1,0,0,1,0,0
Hum Tumhare Hain Sanam,212,190,302,2002,5.4,120000000,1,347620000,0,0,0,0,1,0,0,1,0,0,2,0,0
Mujhse Dosti Karoge!,57,75,463,2002,5.1,120000000,1,336100000,0,0,0,0,1,0,0,1,0,0,2,0,0
Bachna Ae Haseeno,336,154,391,2008,6.2,120000000,1,790000000,0,0,1,0,1,0,0,1,0,0,4,1,1
Yuva,35,53,37,2004,7.4,120000000,1,244847500,1,0,0,0,1,0,0,0,1,1,1,0,2
Shagird,2,228,417,2011,7.1,120000000,1,25900000,1,0,0,1,1,0,0,0,0,1,1,0,2
Dil Chahta Hai,140,189,121,2001,8.1,120000000,1,456000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Lakshmi,112,191,458,2014,8,120000000,1,335000000,0,0,0,0,1,0,0,0,0,1,2,0,2
Chup Chup Ke,168,141,463,2006,6.7,120000000,1,255000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Taare Zameen Par,69,197,189,2007,8.4,120000000,1,889000000,0,0,0,0,1,0,0,0,0,1,4,1,3
Hichki,253,116,416,2018,7.5,120000000,1,2390000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Queen,246,3,142,2013,8.2,120000000,1,1200000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Bunty Aur Babli,170,37,416,2005,6.2,125000000,1,637405000,0,0,1,0,1,0,0,1,0,0,3,0,0
3G: A Killer Connection,155,48,533,2013,3.6,130000000,1,74500000,0,0,0,0,0,0,1,0,1,0,1,0,0
Haunted - 3D,83,145,494,2011,6.2,130000000,1,360000000,1,0,0,0,0,1,1,0,0,0,2,0,0
Badmaa$h Company,142,141,287,2010,6,130000000,1,350000000,0,0,1,1,1,0,0,0,0,0,2,0,0
Dhobi Ghat,144,73,518,2010,7,130000000,1,256000000,0,0,0,0,1,0,0,0,0,1,2,0,2
Manorama Six Feet Under,282,221,238,2007,7.7,134000000,1,151000000,0,0,0,1,1,0,0,0,0,1,1,0,2
Get Educated: Paathshaala,125,71,417,2010,4.9,140000000,1,170000000,0,0,0,0,1,0,0,0,0,0,1,0,0
Inkaar,238,166,478,2013,6,140000000,1,100200000,0,0,0,0,1,0,0,1,1,0,1,0,0
Ekk Deewana Tha,96,73,439,2012,5.9,140000000,1,50000000,0,0,0,0,1,0,0,1,0,0,1,0,0
Tere Naal Love Ho Gaya,101,90,531,2012,5.8,140000000,1,306262500,0,0,1,0,1,0,0,1,0,0,2,0,0
